id,title
1,Ming-Yang Kao
2,Peter Dinda
3,Aleksandar Kuzmanovic
4,John Tumblin
5,Lawrence Birnbaum
6,Christopher Riesbeck
7,Douglas Downey
8,Ian Horswill
9,Patrick McNally
10,Kristian Hammond
11,Allen Taflove
12,Matthew Grayson
13,Selim Shahriar
14,Ilya Mikhelson
15,Arthur Butz
16,Hooman Mohseni
17,Jana Zujovic
18,Sotirios Tsaftaris
19,Martin Plonus
20,Chung Chieh Lee
21,Thrasyvoulos Pappas
22,Hai Zhou
23,Chi-Haur Wu
24,Russell Joseph
25,Robert Paul Dick
26,Wei-Chung Lin
27,Lawrence Joseph Henschen
28,Goce Trajcevski
29,Peter Scheuermann
30,Ioan Raicu
31,Ioanna Doufexi
32,Fabian Bustamante
33,Yan Chen
34,Chang Liu
35,Prem Kumar
36,Aggelos Katsaggelos
37,Dongning Guo
38,Koray Aydin
39,Manijeh Razeghi
40,Patrick Kung
41,Harold Kung
42,Lance Fortnow
43,Ying Wu
44,Abraham Herzl Haddad
45,Nikolaos Hardavellas
46,Fatma Memik
47,Michael Honig
48,Xu Li
49,Morteza Amir Rahimi
50,Robert Findler
51,Edna Grad
52,Fatima Khan
53,Ragy Mikhaeel
54,Natik Faraj
55,Lynn Whitcomb
56,Rana Shabaneh
57,"Ragy Mikhaeel,Lynn Whitcomb"
58,"Natik Faraj,Lynn Whitcomb"
59,"Lynn Whitcomb,Fatima Khan"
60,Rami Nair
61,Phyllis Lyons
62,Kagan Arik
63,Richard Marshall Lepine
64,Chyi Chung
65,Han Luo
66,Hong Jiang
67,Bruce Knickerbocker
68,Shijuan Liu
69,Hong Shao
70,Guofang Yuan
71,Li-Cheng Gu
72,Hsiu-ling Robertson
73,Jili Sun
74,Jorge Nocedal
75,Michael Horn
76,Louis Gomez
77,Jason Hartline
78,Jeremy Gilbert
79,Kenneth Forbus
80,Bryan Pardo
81,Alan Varteres Sahakian
82,Gokhan Memik
83,Randy Freeman
84,Alok Nidhi Choudhary
85,Daniel Honbo
86,Uriel Wilensky
87,Seng-Tiong Ho
88,Horace Pak-Hong Yuen
89,Steven Slivken
90,Yehea Ismail
91,John Kim
92,Brenna Argall
93,Nicole Immorlica
94,Todd Warren
95,Darren Gergle
96,Justine Cassell
97,Joseph Holtgreive
98,John Lake
99,Daniel Brown
100,Stephen Howard Carr
101,Kathryn Kalscheur
102,David Sabo
103,Jay Birdwell
104,Suzanne Olds
105,Gregory Olson
106,Elizabeth Gerber
107,Bruce Ankenman
108,Shannon Ford
109,Stacy Benjamin
110,Walter Herbst
111,Paul Specht
112,Keith Tyo
113,Aaron Stebner
114,David Gatchell
115,Mark Bourgeois
116,Michael Prisco
117,Lisa Gandy
118,Bao Wang
119,Yan Pan
120,Michael Jewett
121,Sami Nerenberg
122,Joshua Leonard
123,Franz Xaver Themistokles Neumeyer
124,Gregory Holderfield
125,Elmer Lewis
126,Gregory Ryskin
127,Shehla Arif
128,Matthew Glucksberg
129,Paul Olczak
130,Jee Rim
131,Utku Pamuksuz
132,Jennifer Cole
133,Hao Zhang
134,Michael Bedzyk
135,Martin Luessi
136,Song Liu
137,Joseph Fitzpatrick
138,R P Chang
139,Alex Shye
140,Angelika Zissimopoulos
141,Kenneth Shull
142,John Clauson
143,TBA
144,Dana Comolli
145,Michael Beltran
146,Thomas Charles Rochow
147,Barbara Shwom
148,John Anderson
149,Steven Ward
150,Jan Seyberth
151,Jeanne Pietrusewicz
152,Conrad Albrecht-Buehler
153,James Conley
154,Nicholas Marchuk
155,Michael Aaron Peshkin
156,Andrew Skwish
157,Lisa Del Torto
158,Penny Hirsch
159,Ann McKenna
160,John Hartman
161,Daniel Moser
162,Tong Kim
163,Kevin Cluff
164,Cheng Sun
165,John Andrew Walker
166,Siavash Sohrab
167,Seth Lichter
168,Dean Ho
169,Malcolm MacIver
170,Mark Locascio
171,Horacio Dante Espinosa
172,Kornel Ehmann
173,Jian Cao
174,Wei Chen
175,Mitra Hartmann
176,Sandip Ghosal
177,Richard Lueptow
178,John Rudnicki
179,Todd Murphey
180,Wing Liu
181,Kevin Lynch
182,Henry Stoll Jr
183,Huyue Zhao
184,Qian Wang
185,Sridhar Krishnaswamy
186,Oluwaseyi Balogun
187,Paul Umbanhowar
188,Ted Belytschko
189,Neelesh Patankar
190,Nasir Basit
191,James Edward Colgate
192,Seth Snyder
193,Justin Notestein
194,Annelise Barron
195,Randall Snurr
196,Joshua Dranoff
197,Linda Broadbelt
198,William Miller
199,John Mark Torkelson
200,Packianathan Arthur Felse
201,Wesley Roth Burghardt
202,Bartosz Grzybowski
203,Daniel Boggs
204,Luis A Amaral
205,Peter Pujado
206,Fengqi You
207,Michael Caracotsios
208,Gavin Towler
209,Igor Kourkine
210,John Grime
211,Warren Haug
212,Frederick Northrup
213,Joseph Hupp
214,Eric Weitz
215,Adina Kay Ott
216,Mark Ratner
217,Chad Mirkin
218,Teri Wang Odom
219,Kenneth Spears
220,Thomas O'Halloran
221,Elad Harel
222,Larry Trzupek
223,Barry Coddens
224,Jim Ibers
225,Owen Priest
226,Shelby Hatch
227,George Schatz
228,Franz Geiger
229,Alexander Statsyuk
230,Michael Wasielewski
231,Regan Thomson
232,Milan Mrksich
233,Joseph Buckley Lambert
234,Frederick Lewis
235,Sonbinh Nguyen
236,Richard Bruce Silverman
237,Karl Scheidt
238,Merkouri Kanatzidis
239,Peter Curran Stair
240,Olke Uhlenbeck
241,Margaret Farago
242,Samuel Isaac Stupp
243,Richard Van Duyne
244,Kenneth Poeppelmeier
245,Sumit Bhaduri
246,Brian Hoffman
247,Emily Weiss
248,Lin Chen
249,Jeffrey Thomas
250,Leon Keer
251,Emmanuel Gdoutos
252,Hamlin Jennings
253,Yonggang Huang
254,Edwin Rossow
255,David Corr
256,Jose Andrade
257,Richard Finno
258,Charles Dowding
259,Shannon Ciston
260,Aaron Packman
261,Raymond John Krizek
262,Keith Harley
263,Pablo Luis Durango-Cohen
264,Surendra Shah
265,Richard Tilghman
266,Donald Robideau
267,Dan Maguire
268,Ahmad Hadavi
269,David Schulz
270,Venkatesh Gopal
271,Robert Stinson Gemmell
272,Martina Hausner
273,George Lytwynyshyn
274,Luisa Marcelino
275,Jean-Francois Gaillard
276,Joseph Schofer
277,Yu Nie
278,Neal Blair
279,Laurence Booth
280,Klementina Khait
281,Kimberly Gray
282,Martin Zelder
283,Robert Gordon
284,Richard Walker
285,Laura Kiesling
286,James Hornsten
287,Hilarie Lieb
288,Kiminori Matsuyama
289,Mark Witte
290,Burton Allen Weisbrod
291,Ronald Ray Braeutigam
292,Chiaki Moriguchi
293,Steffen Habermalz
294,Francisco Buera
295,Lillian Kamal
296,Alexander Monge-Naranjo
297,Mirko Wiederholt
298,John Panzar
299,Rasim Ozcan
300,Allan Richard Drebin
301,Thomas Richard Prince
302,Ewa Sletten
303,Ramanan Natarajan
304,Joel Horowitz
305,Robert Coen
306,Muhammad Bhuiyan
307,Wojciech Olszewski
308,Lawrence Christiano
309,Ingunn Lonning
310,Keziah Cook
311,Eric Schulz
312,Giorgio Primiceri
313,Michael Whinston
314,Alessandro Pavan
315,Ian Savage
316,Scott Ogawa
317,Todd Sarver
318,Jeffrey Ely
319,Ron Siegel
320,Yossef Spiegel
321,Eddie Dekel
322,Sorin Maruster
323,Eva Nagypal
324,Martin Eichenbaum
325,Sevket Pamuk
326,Benjamin Chabot
327,Louis Cain
328,Xavier Duran
329,Joel Mokyr
330,Regina Grafe
331,Ellen Worsdall
332,Katherine Faber
333,Yulia Peet
334,Michael Gratton
335,Erin Lennon
336,John Bayldon
337,Giuseppe Buscarnera
338,Sinan Keten
339,Karen Chou
340,Lonnie Shea
341,Casey Prouty
342,Alvin Bayliss
343,Michael Miksis
344,Brian Merkey
345,David Salac
346,Mary Silber
347,Sascha Hilgenfeldt
348,David Chopp
349,Alexander Golovin
350,Randall Berry
351,Daniel Abrams
352,Wayne Bielski
353,Daniel Hogan
354,"Daniel Hogan,Charles Dowding, Wayne Bielski"
355,Ryan Broderick
356,Gabriel Drummond-Cole
357,Kalman Nanes
358,Sergiy Koshkin
359,Katrin Gelfert
360,Vasiliy Dolgushev
361,Joseph Jerome
362,Ezra Getzler
363,Eugene Kushnirsky
364,Keith Burns
365,Angela Grant
366,Sandy Zabell
367,John Alongi
368,Francesco Calegari
369,John Franks
370, 
371,David McClendon
372,Dmitry Tamarkin
373,Christopher Dwyer
374,David Treumann
375,John Flynn
376,Byoung Du Kim
377,Christopher Novak
378,Vicentiu Pasol
379,Jeremiah Heller
380,Dennis Borisov
381,Elizabeth Burslem
382,Anthony Elmendorf
383,Sara Quinn
384,Timothy Clark
385,Semail Ulgen Yildirim
386,Gabriel Kerr
387,Myoungjean Bae
388,Jianfeng Liang
389,Kari Ragnarsson
390,Ellen Goldstein
391,Ursula Porod
392,Angela Barnhill
393,Martina Bode
394,Mehdi Sarikhani Khorami
395,Jamison Wolf
396,Ellen Eischen
397,Simon Marshall
398,David Savitt
399,Daniel Visscher
400,Barry Walker
401,Dean Baskin
402,Ana Rechtman
403,Emmanuel Schenck
404,Matthew McCallum
405,Florian Herzig
406,Rupert Venzke
407,Mona Mocanasu
408,Cleopatra Christoforou
409,Ionel Popescu
410,Melissa Tacy
411,Cheol-Hyun Cho
412,Timothy Ridenour
413,Van Cyr
414,Toby Gee
415,Yaguang Wang
416,Alexandre Guetmanenko
417,"Lan Wen,Qian Ding"
418,"Lan Wen,Amanda Potts"
419,Hongkun Zhang
420,Matthew Emerton
421,Anna Talitskaya
422,Si Li
423,Anna Marie Bohmann
424,Joseph Cutrone
425,Nikita Rozenblyum
426,Robert Nendorf
427,Ting Xue
428,Bei Zhang
429,Luke Gutzwiller
430,John Francis
431,Erik Carlsson
432,Gui-Qiang Chen
433,Boris Tsygan
434,Kiran Parkhe
435,Bernard Matkowsky
436,Maurice Blount
437,Eleftherios Kirkinis
438,Dirk Brockmann
439,Erik Luijten
440,R Clark Robinson
441,Zhihong Xia
442,Michael Stein
443,Stephen David Fisher
444,Bryna Kra
445,Eric Zaslow
446,Carlotta Donadello
447,Jared Wunsch
448,Anne Wilkinson
449,William Hooper
450,Chris Jacobsen
451,David Taylor
452,Andrew Smith
453,Kamal Seth
454,Donald Ellis
455,Isaac Kornfeld
456,Kevin Costello
457,Brian Odom
458,Mayda Velasco
459,Frederic Rasio
460,Heidi Schellman
461,Deborah Brown
462,Scott Sowerby
463,Kenneth Alder
464,Anupam Garg
465,Dyan Elliott
466,Bruno Gobbi
467,Alexandra Owen
468,Peter Francis Hayes
469,John Starkes Bushnell
470,Deborah Cohen
471,Venkat Chandrasekhar
472,Tessie Liu
473,Sarah Maza
474,Erin-Marie Legacey
475,Richard Lutjens
476,Darcy Heuring
477,Britt Petersen
478,Thomas Mason
479,Edward Wallace Muir Jr
480,Andre De Gouvea
481,Matthew Sterenberg
482,Meghan Roberts
483,Michael Schmitt
485,David Buchholz
491,Pulak Dutta
494,Arthur Gerard Schmidt
484,Meghann Pytka
487,William Cavert
488,Shawn Clybor
489,Jane Smith
496,Michael Sherry
497,Ji-Yeon Yuh
500,Henry Claxton Binford
501,Alice Weinreb
502,Francesca Bordogna
503,Dylan Craig Penningroth
504,Geraldo Cadava
506,Michael Allen
486,Vinayak Dravid
490,Yip-Wah Chung
492,Christopher Wolverton
493,Donald Buchholz
495,Asher Wolinsky
498,William Rogerson
499,Joshua Kellar
505,Georgia Kernell
507,Christopher Booth-Morrison
508,William Clark
509,Ronnie Grinberg
510,James Coltrain
511,Abigail Trollinger
512,Andrew Wehrman
513,Michelle Seitz
514,Laura Hein
515,Christopher Weyant
516,Katherine Masur
517,Scott Barnett
518,Charlotte Cahill
519,Andrew Warne
520,Daniel Watkins
521,Buckley Crist Jr
522,Elizabeth Lewis
523,Tammy Lai
524,Susan Pearson
525,Josef Barton
526,Kathleen Stair
527,Andrew Rivers
528,Matthew Miller
529,Derk Joester
530,Jiaxing Huang
531,Melissa Macauley
532,Jason Seawright
533,Sarah Pearsall
534,Anne Sartori
535,Yung Kim
536,David Lee Schoenbrun
537,James Druckman
538,David Smith
539,Sean Gailmard
540,Jeffrey Rice
541,Ipek Yosmaoglu
542,Carl Forbes Petry
543,Peter Carroll
544,Henri Lauziere
545,Giles Novak
546,Amy Stanley
547,Frank Robinson Safford
548,Rajeev Kinra
549,Elton Hsu
550,Peter Voorhees
551,Joseph Ferrie
552,Alexander Gamburd
553,Mark Iris
554,Rudolph Ware
555,David Seidman
556,Bart Willems
557,Jason Johnson
558,Michael Dacey
559,John Lynn
560,Steven Won
561,Celeste McNamara
562,Yohanan Petrovsky-Shtern
563,Laurence Robbins
564,Nicholas Baker
565,Robert Lerner
566,Brian Maxson
567,Benjamin Frommer
568,Michael Johnson
569,Michele Panico
570,Irwin Kra
571,David Dunand
572,Yurii Shylnov
573,Zaza Metreveli
574,Neal Dugre
575,Caitlin Fitz
576,Kathryn Burns-Howard
577,Christopher Sparshott
578,Rebecca Marchiel
579,James Sauls
580,Lincoln Lauhon
581,Mark Hersam
582,Michael Kramer
583,Lane Fenrich
584,Susan Piagentini
585,John Marko
586,Sherwin Bryant
587,Jeff Nelson
588,Kenn Kumpf
589,Thomas Edge
590,Eliza Brown
591,Martha Biondi
592,Bruce Wessels
593,Tristan Cabello
594,Benjamin Hjertmann
595,Laurence Marks
596,Jinsong Wu
597,Denise Khor
598,Stephen Mak
599,John Cheng
600,Michael McBride
601,Yoram Lithwick
602,Jerrold Carsello
603,William Halperin
604,Kathryn de Luna
605,Mark Pinsky
606,Christopher Hayden
607,Jonathon Glassman
608,Ian Low
609,Jens Koch
610,Tania Munz
611,Daniel Margocsy
612,Charles Hayford
613,Jeffrey Nelson
614,Margaret Adamson
615,Adilson Motter
616,Andrew Morrison
617,Liza White
618,Elliot Cless
619,Jenna Lyle
620,Christopher Fisher-Lochhead
621,Caroline Davis
622,Alex Temple
623,Elie Rekhess
624,Rosa Abrahams
625,Amedeo Feniello
626,Benjamin Duane
627,Dean Bell
628,Benjamin Anderson
629,Jacob Lassner
630,John Low
631,David Shyovitz
632,Carolyn O'Brien
633,Kirsten Leng
634,Shawn Jaeger
635,Nathaniel Stern
636,John Ketterson
637,Hui Cao
638,Charles Pugh
639,Edoardo Tortarolo
640,Sarah Osten
641,Lazare Behar
642,Guy Laron
643,Chiu Liu
644,Anthony Hazard
645,Allen Rosenthal
646,Harry David Smith
647,Douglas Medin
648,Benjamin Gorvine
649,Sandra Waxman
650,Renee Engeln-Maddox
651,Joan Chiao
652,Sara Broaders
653,Marcia Grabowecky
654,Rita Koryan
655,Paul Reber
656,Steven Franconeri
657,Anastasia Polda
658,Brian Cagle
659,Roberta Stack
660,Jonathan Adler
661,Elizabeth Matthews
662,Kyle Henry
663,Erik Gernand
664,Spencer Parsons
665,Timothy Hall Breen
666,Wendi Gardner
667,Eli Finkel
668,Eric Smith
669,Bret Dawson
670,Billy Vermillion
671,Michael Scott Curtis
672,Jeffrey Sconce
675,Christopher Bowen
676,Jessica Smith
677,Allyssa Hynes
679,Daniel Ochwat
680,Milta Ortiz-Pinate
681,Jennifer Spyra
682,Erin Hays
683,Ethan Kass
685,Neal Dandade
686,Holly O'Brien
687,Jennifer Lamb-Hetherington
689,David Crawford
694,Scot Abrahamson
697,Kendall Sherwood
698,Gedalya Chinn
700,Terrance Brown
702,Lillian Mooney
703,Philister Sidigu
704,Andrew Miara
705,Marisha Mukerjee
706,Nicholas Freilich
708,Julissa Castillo
709,Sonja Blume
711,Lindsey Robinson
713,Lauren Bennett
714,Gabrielle Fulton
715,Alvaro Rios
717,Anthony Werner
718,Stephanie Kornick
720,Jordan Mumma
722,Meridith Friedman
673,Richard Zinbarg
674,Steven Miller
678,Ezra Wegbreit
684,Benjamin Schalet
691,Gerulf Rieger
692,Nicholas Herrera
693,Gale Peterson
696,Satoru Suzuki
699,Daniel Molden
