id,title
1,101-0 An Introduction to Computer Science for Everyone
2,110-0 Introduction to Computer Programming
4,111-0 Fundamentals of Computer Programming
5,130-0 Tools and Technology of the World-Wide Web
6,"195-0 Electroncs, Photons, and Bits: Adventures in Electrical and Computer Engineering"
7,202-0 Introduction to Electrical Engineering
12,203-0 Introduction to Computer Engineering
14,205-0 Fundamentals of Comupter System Software
16,211-0 Object-Oriented Programming in C++
19,213-0 Introduction to Computer Systems
21,221-0 Fundamentals of Circuits
23,222-0 Fundamentals of Signals & Systems
24,223-0 Fundamentals of Solid State Engineering
26,224-0 Fund of Electromagnetics & Photonics
28,225-0 Fundamentals of Electronics
30,230-0 Programming for Computer Engineers
32,231-0 Advanced Programming for Computer Engineers
33,250-0 Physical Electronics and Devices
34,270-0 Applications of Electronic Devices
36,302-0 Probabilistic Systems and Random Signals
38,303-0 Advanced Digital Design
40,307-0 Communications Systems
42,308-0 Advanced Electromagnetics and Photonics
44,310-0 Mathematical Foundations of Comp Science
45,311-0 Data Structures & Data Management
46,317-0 Data Management & Information Processing
47,321-0 Programming Languages
48,322-0 Compiler  Construction
49,325-1 Artificial Intelligence Programming
50,111-1 Hebrew I
51,101-1 Hebrew I
52,111-2 Hebrew I
53,101-2 Hebrew I
54,111-3 Hebrew I
55,101-3 Hebrew I
56,121-1 Hebrew II
57,102-1 Hebrew II
58,121-2 Hebrew II
59,102-2 Hebrew II
60,121-3 Hebrew II
61,102-3 Hebrew II
62,111-1 Arabic I
67,105-1 Arabic I
68,111-2 Arabic I
72,105-2 Arabic I
73,111-3 Arabic I
77,105-3 Arabic I
78,121-1 Arabic II
81,106-1 Arabic II
82,121-2 Arabic II
85,106-2 Arabic II
86,121-3 Arabic II
89,106-3 Arabic II
90,110-6 Freshman Seminar The Art of Language Through the South Asian Lens
91,110-6 Freshman Seminar Growing Up in Japan:Ancient&Mod Tales of Growth
93,110-6 Freshman Seminar Ethnomusicology Central Asia
94,110-6 Freshman Seminar Learning from Language
95,110-6 Freshman Seminar Frame Tales; Books & Movies
